id;departemen_id;nama;foto
1;1;Desainer Produk;
2;1;Birokrat Industri Kreatif;
3;1;Entrepreneur;
4;1;Desainer Appliences;
5;1;Desainer Apparel;
6;2;Desainer Produk;
7;2;Entrepreneur Design;
8;2;Desainer Interior;
9;2;Distributor Barang Interior;
10;3;Konsultan Branding;
11;3;Desainer Produk Komersil dan Industri;
12;3;Freelance Designer;
13;3;Animator dan Seniman Video;
14;4;Business development;
15;4;Marketing Executive;
16;4;Project manager;
17;4;Entrepreneur;
18;4;HRD;
19;4;Business analyst;
20;5;Manajer Program Advokasi Pembangunan;
21;5;Pekerja Sosial Internasional;
22;5;Social enterprise manager;
23;5;Corporate Social Responsibility;
24;5;Manajer Community Development;
25;7;Penelitian dan Pengembangan;
26;7;Operasional dan Logistik;
27;7;Quality Assurance dan Quality Control;
28;7;Akademisi;
29;8;Financial Perbankan;
30;8;Analis Data dan Sistem;
31;8;Programmer;
32;8;Aktuaris;
33;8;Auditor;
34;8;Kriptografer;
35;8;Peneliti;
36;9;System Analyst;
37;9;Database Expert;
38;9;IT and Business Analyst;
39;9;Auditor IT;
40;9;Data Scientist;
41;9;Digital Start Up;
42;10;Quality Control;
43;10;Quality Assurance;
44;10;Research and Development;
45;10;Ahli Bioteknologi;
46;10;Teknisi Laboratorium Klinis;
47;11;Food Scientist;
48;11;Quality Control;
49;11;Health Educator;
50;11;Ahli Botani;
51;11;Ilmuwan Forensik;
52;11;Conservationist;
53;11;Biopreneur;
54;12;Aktuaris Asuransi;
55;12;Konsultan;
56;12;Aktuaris Finansial ;
57;12;Perencana keuangan ;
58;12;Manajer Investasi ;
59;13;Wirausaha;
60;13;Software developer;
61;13;System engineer;
62;13;Electrical Design Engineer;
63;13;Project Engineer;
64;13;Control Engineer;
65;13;Robot Engineer;
66;13;Perancang dan teknisi mesin;
67;14;Insinyur Biomedis;
68;14;Insinyur Klinis;
69;14;Insinyur Rehabilitasi;
70;14;Asisten Peneliti;
71;14;Akademisi;
72;15;Programmer aplikasi (mobile);
73;15;System integrator;
74;15;Pengembang solusi ICT;
75;15;Network engineer (internet, cloud, IoT);
76;15;Network/system administrator;
77;16;Pengembang perangkat lunak;
78;16;Analis / pengembang sistem;
79;16;Pengembang web;
80;16;Spesialis jaringan komputer;
81;16;Konsultan TI;
82;16;Teknisi / pengembang game;
83;16;Pengembang Aplikasi Seluler;
84;16;Spesialis Keamanan;
85;17;Analis sistem;
86;17;Ahli basis data;
87;17;Konsultan IT dan bisnis;
88;17;Auditor IT;
89;17;Data scientist;
90;17;Digital startup;
91;18;Software developer;
92;18;System analyst;
93;18;IT support analyst;
94;18;IT consultant;
95;18;Network engineer;
96;18;Network administrator;
97;18;Security engineer;
98;18;Database administrator;
99;19;Robotic Engineer;
100;19;Aerospace Engineer;
101;19;Automotive Engineer;
102;19;Welding Inspektor;
103;19;Metallurgical Engineer;
104;20;Process Engineer;
105;20;Manufacturing Engineer;
106;20;Quality Engineer;
107;20;RND Engineer;
108;20;Petroleum Engineer;
109;21;Manufacturing Engineer;
110;21;Mining Engineer;
111;21;Renewable Energy;
112;21;Quality Control;
113;22;Engineering manager;
114;22;Logistics Specialist;
115;22;Quality Control Engineer;
116;23;Ahli dan Analis NDT;
117;23;Welding Engineer;
118;23;Material engineer;
119;23;Metallurgist;
120;23;Wirausaha;
121;25;Marine engineer;
122;25;Marine Architect;
123;25;Welding inspector;
124;25;Project engineer;
125;25;Dock monitoring;
126;25;Marine Surveyor;
127;26;Marine engineer;
128;26;Marine Architect;
129;26;Welding Inspector;
130;26;Project engineer;
131;26;Dock monitoring;
132;26;Marine Surveyor;
133;27;Project Engineering;
134;27;Design Engineer;
135;27;Konsultan Bangunan Laut;
136;27;Surveyor;
137;27;Peneliti;
138;27;Pendidikan;
139;28;Marine Engineer;
140;28;Marine Architect;
141;28;Marine Surveyor;
142;28;Konsultan Bangunan Laut;
143;28;Project Engineer;
144;30;Geotechnical Engineer;
145;30;Fire Engineer;
146;30;CAD Technician;
147;30;Structural Engineer;
148;30;Transportation Engineer;
149;31;Arsitek;
150;31;Kontraktor;
151;31;Developer;
152;31;Konsultan Arsitektur;
153;32;Konsultan Lingkungan;
154;32;Manajer Lingkungan;
155;32;Pengelolaan Limbah;
156;32;Ahli Ekologi;
157;32;Konservasi Alam;
158;33;Konsultan Properti;
159;33;Perencana Transportasi;
160;33;Surveyor Tanah;
161;33;Perencana Real Estate;
162;33;Perencana Wilayah dan Kota;
163;34;Land Surveyor;
164;34;Ahli Sistem Informasi Geografis;
165;34;Surveyor Hidrografi;
166;34;Surveyor Pertambangan;
167;34;Insinyur Light Detection and Ranging (LIDAR);
168;34;Ahli Fotogrametri;
169;35;Vulkanolog;
170;35;Bidang Perminyakan dan Gas Bumi.;
171;35;Tenaga Ahli Perkiraan Cuaca;
172;35;Bidang Pertambangan;
173;35;Mitigasi Bencana Alam, dan Lingkungan;
174;36;Surveyor;
175;36;Pengawas;
176;36;Konsultan;
177;36;Drafter;
178;36;Quality control;
179;36;Wirausaha;
180;37;Industri otomotif;
181;37;Industri kedirgantaraan;
182;37;Industri Bioteknologi;
183;37;Konversi energi;
184;37;Kontrol lingkungan;
185;37;Industri manufaktur dan otomasi;
186;38;Automation engineer;
187;38;Sensor and Actuator Engineer;
188;38;Service/maintenance engineer;
189;38;System Integrator;
190;38;DCS/SCADA Engineer;
191;38;Instrumentation engineer;
192;38;Control system engineer;
193;38;System and design engineer;
194;39;Process engineer;
195;39;Quality engineer;
196;39;Operation engineer;
197;39;Environmental Health Safety Engineer;
198;39;Quality assurance;
199;39;Quality control;
200;40;Instrumentation & control Technician;
201;40;Maintenance Operator;
202;40;Control & Instrumentation engineer;
203;41;Konsultan riset;
204;41;Quality assurance;
205;41;Penelitian dan pengembangan;
206;41;Analis data;
207;41;Riset pemasaran;
208;41;Pengendalian kualitas;
209;41;Wirausaha;
